id,title,genres,movie_year,rotten_tomatoes_score,lead_studio
108583,Spider-Man 3,Action,2007,61,Sony
32898,Shrek the Third,Animation,2007,42,Paramount
7065,Transformers,Action,2007,57,Paramount
7243,Pirates of the Caribbean: At World's End,Action,2007,45,Disney
62383,Harry Potter and the Order of the Phoenix,Adventure,2007,78,Warner Bros
8511,I Am Legend,Thriller,2007,69,Warner Bros
3309,The Bourne Ultimatum,Thriller,2007,93,Universal
72626,National Treasure: Book of Secrets,Thriller,2007,31,Disney
6987,Alvin and the Chipmunks,Animation,2007,26,Fox
25737,300,Action,2007,60,Warner Bros
59945,The Strangers,Horror,2008,44,Relativity Media
3310,The Forbidden Kingdom,Action,2008,64,Relativity Media
83096,The Tale of Despereaux,Animation,2008,54,Universal
83318,The House Bunny,Comedy,2008,39,Sony
83322,Nim's Island,Adventure,2008,51,Independent
83359,Australia,Adventure,2008,55,Fox
1348,Made of Honor,Comedy,2008,13,Sony
4768,College Road Trip,Adventure,2008,13,Buena Vista
25744,Rambo,Action,2008,36,Lionsgate
44587,Speed Racer,Action,2008,38,Warner Bros
83361,Aliens in the Attic,Adventure,2009,30,Fox
83411,Observe and Report,Comedy,2009,51,Warner Bros
3140,Love Happens,Drama,2009,18,Universal
8235,Fame,Comedy,2009,25,MGM
8609,Fantastic Mr. Fox,Animation,2009,93,Fox
4405,Gamer,Action,2009,29,Lionsgate
7074,Nine,Drama,2009,37,Weinstein
7302,Astro Boy,Animation,2009,49,Summit
25750,The Invention of Lying,Comedy,2009,56,Warner Bros
25753,Inkheart,Adventure,2009,39,Warner Bros
3133,A Nightmare on Elm Street,Horror,2010,13,Warner Bros
3232,Alice in Wonderland,Adventure,2010,52,Disney
3629,All About Steve,Comedy,2010,6,Independent
3742,Alpha and Omega,Animation,2010,17,Crest
4277,Black Swan,Drama,2010,88,Fox
6986,Brooklyn's Finest,Action,2010,42,Independent
25752,Buried,Drama,2010,86,Independent
25755,Burlesque,Drama,2010,36,Paramount
957,Case 39,Horror,2010,23,Independent
3022,Cats & Dogs: The Revenge of Kitty Galore,Action,2010,13,Independent
3492,Apollo 18,Horror,2011,23,Weinstein
4404,Arthur,Comedy,2011,26,Warner Bros
7309,Arthur Christmas,Animation,2011,92,Aardman Animations
121618,Average,,2011,55,
1925,Bad Teacher,Comedy,2011,44,Independent
2010,Battle: Los Angeles,Action,2011,35,Relativity Media
2227,Beastly,Romance,2011,19,CBS
7914,Beginners,Comedy,2011,84,Independent
8125,Bridesmaids,Comedy,2011,90,Relativity Media
8275,Captain America: The First Avenger,Action,2011,78,Disney
